Last_Name,First_Name,Unit,Street_Number,Street_Name,Street_Type,Suburb,Postcode,Full_Address,Number_Adults,Number_Children,Lat,Long,Primary_Phone,Emergency_Phone,Risk
Gibson,Paul,,41,Kent,Avenue,Marabelling,6064,"41 Kent Avenue, Marabelling 6064",1,4,-32.08695301,115.9450156,0482573821,0445879434,LOW
Gilbert,Chelsea,Unit 2,34,Dyer,Street,South Cobrook,6042,"Unit 2, 34 Dyer Street, South Cobrook 6042",2,2,-31.91006831,115.9004715,0498456289,0446247653,MED
Gilbert,Destiny,Unit 1,44,Woodard,Street,Henley Creek,6042,"Unit 1, 44 Woodard Street, Henley Creek 6042",1,1,-31.97284078,116.0875058,0421181655,0446037396,MED
Gill,Rebecca,,14,Dunlap,Street,Swan Weir,6095,"14 Dunlap Street, Swan Weir 6095",4,3,-31.96825686,116.0472553,0429269577,0446470810,MED
Glass,Dean,,13,Manning,Street,Bentley Valley,6064,"13 Manning Street, Bentley Valley 6064",1,0,-31.93332388,116.049177,(08) 64899563,0446566000,HIGH
Glenn,Leigh,,6,Osborne,Street,Briganup,6058,"6 Osborne Street, Briganup 6058",1,3,-31.86315551,116.0469567,0479035983,0446576733,LOW
Glover,Nell,,13,Fields,Street,Marabelling,6056,"13 Fields Street, Marabelling 6056",2,0,-31.85492084,116.0390244,0473568534,0446704773,MED
Goff,Ray,,43,Beach,Avenue,Mount Woorup,6032,"43 Beach Avenue, Mount Woorup 6032",1,3,-32.07426141,115.9762013,0496663610,0446828176,MED
Golden,Jena,,39,Bartlett,Road,Forest Glade,6032,"39 Bartlett Road, Forest Glade 6032",5,2,-32.02394506,115.9498249,0455204272,0447417201,LOW
Gonzalez,Colton,,39,Roth,Street,East Cubbin,6095,"39 Roth Street, East Cubbin 6095",1,1,-32.09844553,115.9267223,0467454087,0447584486,LOW
Good,Willow,,36,Foreman,Street,East Cubbin,6095,"36 Foreman Street, East Cubbin 6095",1,0,-32.09549214,115.9876163,0481662068,0447699032,LOW
Goodwin,Orson,,45,Mccullough,Street,Marabelling,6084,"45 Mccullough Street, Marabelling 6084",5,1,-31.96671825,116.0629977,0468269770,0448042782,LOW
Gordon,Ashely,,8,Henderson,Street,Swan Weir,6032,"8 Henderson Street, Swan Weir 6032",2,0,-31.83813762,115.9247148,0453102146,0448162635,MED
Gordon,Leonard,,35,Jordan,Avenue,St Spencer,6058,"35 Jordan Avenue, St Spencer 6058",2,0,-31.88175008,116.0968888,0444676956,0448195740,LOW
Gould,Norman,,57,Fitzgerald,Avenue,East Helena,6048,"57 Fitzgerald Avenue, East Helena 6048",1,2,-31.80699813,115.9295752,0476599648,0448424070,MED
Graham,Amery,,7,Peters,Avenue,Cloverwater,6021,"7 Peters Avenue, Cloverwater 6021",2,4,-31.83659172,116.1596523,0448539659,0448436723,LOW
Gray,Sylvia,,34,Burgess,Street,Wilis Vale,6084,"34 Burgess Street, Wilis Vale 6084",2,0,-31.94813882,115.9441548,0488180984,0448442618,LOW
Griffin,Asher,,37,Hooper,Street,Greenville,6037,"37 Hooper Street, Greenville 6037",2,3,-32.09742511,116.0558808,0472061027,0448470957,MED
Grimes,Latifah,,16,Giles,Street,South Cobrook,6090,"16 Giles Street, South Cobrook 6090",1,3,-31.88555813,115.9946882,0421045864,0448509600,MED
Gutierrez,Rhoda,,14,Brown,Road,Bentley Valley,6032,"14 Brown Road, Bentley Valley 6032",1,1,-32.06779949,115.9674906,0445084989,0448851970,LOW
Gutierrez,Elijah,,42,Hyde,Street,Greenville,6048,"42 Hyde Street, Greenville 6048",2,0,-31.97983765,115.9730826,0457838654,0448837234,MED
Guzman,Ronan,,39,Saunders,Street,Cloverwater,6037,"39 Saunders Street, Cloverwater 6037",2,1,-31.82779089,116.1385118,0470246795,0448908733,LOW
Guzman,Hayley,,38,Romero,Street,Cubbin,6051,"38 Romero Street, Cubbin 6051",3,3,-31.83217351,116.0952653,0444513318,0448876136,LOW
Guzman,Wyoming,,40,Orr,Street,Mount Woorup,6056,"40 Orr Street, Mount Woorup 6056",1,3,-32.09472388,115.9427786,0479478585,0449019968,LOW
Hahn,Oren,,54,Barnes,Circle,Albadale,6095,"54 Barnes Circle, Albadale 6095",1,1,-31.86638033,115.9722704,0434743269,0449243454,LOW
Hale,Prescott,,57,Whitehead,Street,Greenville,6037,"57 Whitehead Street, Greenville 6037",1,2,-31.96978265,116.0688942,0472178699,0449293058,LOW
Hall,Sopoline,,13,Dale,Street,Swan Weir,6037,"13 Dale Street, Swan Weir 6037",2,3,-31.91065622,116.1098008,0458565328,0449408703,HIGH
Hall,Carissa,,15,Marshall,Road,High Canning,6056,"15 Marshall Road, High Canning 6056",1,0,-32.06537394,116.007995,0496939728,0449451546,MED
Hamilton,Lee,,23,Shaw,Street,South Cobrook,6078,"23 Shaw Street, South Cobrook 6078",1,2,-31.90615991,115.9046176,0480136740,0449589881,MED
Hardin,Deborah,,36,Cabrera,Avenue,Lesley Mills,6058,"36 Cabrera Avenue, Lesley Mills 6058",1,1,-31.957492,115.9472366,0415191575,0449750868,LOW
Harding,Amity,,37,Walter,Road,Briganup,6037,"37 Walter Road, Briganup 6037",1,0,-32.09597232,116.1632145,0490465308,0449822062,LOW
Harding,Fritz,,8,Osborne,Avenue,South Cobrook,6037,"8 Osborne Avenue, South Cobrook 6037",1,1,-32.06192493,115.9750932,0442517525,0449807415,LOW
Harrell,Aristotle,,44,King,Street,Henley Creek,6032,"44 King Street, Henley Creek 6032",2,0,-31.83905414,115.9432241,0474024291,0449987054,MED
Harrell,Griffin,,37,Hess,Street,Wilis Vale,6032,"37 Hess Street, Wilis Vale 6032",2,2,-32.00829101,115.9983331,0468194783,0449895882,MED
Harrell,Karyn,,15,Hopkins,Street,High Canning,6037,"15 Hopkins Street, High Canning 6037",1,3,-31.97948627,116.016256,0483016183,0450025772,HIGH
Harris,Leilani,,48,Tate,Avenue,Marricup,6032,"48 Tate Avenue, Marricup 6032",2,3,-32.01095983,115.981424,(08) 66363923,0450241643,MED
Harris,Amaya,,39,Stewart,Avenue,Swan Weir,6051,"39 Stewart Avenue, Swan Weir 6051",1,1,-31.94094865,115.9386086,0474626526,0450671114,MED
Harrison,Rashad,,48,Haley,Street,East Helena,6032,"48 Haley Street, East Helena 6032",1,0,-32.0789007,115.929311,0485951236,0451006546,HIGH
Hart,Phillip,Unit 3,22,Horn,Street,Lesley Mills,6078,"Unit 3, 22 Horn Street, Lesley Mills 6078",1,0,-32.08535407,116.0293397,0411452647,0451434517,LOW
Hart,Timon,Unit 12,43,Nash,Road,St Spencer,6090,"Unit 12, 43 Nash Road, St Spencer 6090",1,2,-31.86239768,116.0494553,0481820022,0451128073,LOW
Harvey,Tobias,,43,Rich,Road,Bentley Valley,6078,"43 Rich Road, Bentley Valley 6078",3,2,-31.92508699,116.0982657,0479256394,0451465756,MED
Hatfield,Avram,,34,Butler,Road,St Spencer,6032,"34 Butler Road, St Spencer 6032",2,1,-32.0085871,115.91269,0469159214,0451617203,LOW
Hawkins,Ian,,44,Benton,Street,High Canning,6058,"44 Benton Street, High Canning 6058",2,3,-31.92220817,115.9094347,0483975623,0451622298,MED
Hayes,Beau,,16,Skinner,Avenue,Albadale,6032,"16 Skinner Avenue, Albadale 6032",2,1,-32.03098051,115.9723754,0483411696,0451997611,LOW
Hebert,Maya,Unit 4,43,Kim,Circle,East Cubbin,6042,"Unit 4, 43 Kim Circle, East Cubbin 6042",1,3,-31.94336295,115.9643662,0441989547,0452174283,LOW
Henson,Justine,,39,Fry,Road,Forest Glade,6037,"39 Fry Road, Forest Glade 6037",2,5,-31.85122568,116.0555398,0435374412,0452213528,MED
Herrera,Chava,,12,Fields,Road,Billayong,6032,"12 Fields Road, Billayong 6032",1,2,-32.00181193,115.9329421,0464829874,0452800755,LOW
Hester,Vielka,,43,Russell,Street,Greenville,6021,"43 Russell Street, Greenville 6021",2,0,-31.83991937,115.9384362,0499661919,0452828655,LOW
Hester,Quin,,33,Bonner,Street,St Spencer,6048,"33 Bonner Street, St Spencer 6048",1,4,-32.05900552,116.0272449,0437953079,0452833135,HIGH
Hicks,Zoe,,38,Oliver,Road,Stonefield,6027,"38 Oliver Road, Stonefield 6027",1,2,-31.86798319,115.9730656,0491146575,0453300848,LOW
Hinton,Rashad,,26,Farley,Street,Marricup,6078,"26 Farley Street, Marricup 6078",3,3,-31.89422008,115.9221358,0423932910,0453401508,LOW
Hodge,Jennifer,,18,Guthrie,Road,St Spencer,6032,"18 Guthrie Road, St Spencer 6032",2,1,-32.04017237,115.9478937,0426700332,0453494325,MED
Hodge,Chase,,15,Kirby,Street,Greenville,6056,"15 Kirby Street, Greenville 6056",2,1,-32.02275483,116.0517287,0424264797,0453545572,MED
Hodges,Alyssa,,32,Hodges,Street,Marricup,6056,"32 Hodges Street, Marricup 6056",1,0,-31.99351517,116.0520572,(08) 94592497,0453717995,LOW
Hoffman,Yuri,,37,Mosley,Street,Bentley Valley,6064,"37 Mosley Street, Bentley Valley 6064",1,0,-32.0719832,116.2594642,0438959619,0453926590,MED
Holloway,Steel,,16,Mccray,Road,Marricup,6042,"16 Mccray Road, Marricup 6042",2,0,-31.86234685,116.0207824,0463703282,0453969631,LOW
Holt,Timon,,36,Mosley,Street,Cloverwater,6078,"36 Mosley Street, Cloverwater 6078",4,1,-31.96016136,116.2022011,0486521149,0454413851,LOW
Horne,Bethany,,7,Lawrence,Street,East Helena,6021,"7 Lawrence Street, East Helena 6021",1,1,-31.89913558,116.0505697,(08) 98068211,0454501609,LOW
Horton,Carolyn,Unit 6,14,Thomas,Road,Billayong,6059,"Unit 6, 14 Thomas Road, Billayong 6059",1,0,-31.9141565,115.9358913,0429729216,0454629523,LOW
House,Brielle,,15,Mccormick,Road,Lesley Mills,6021,"15 Mccormick Road, Lesley Mills 6021",2,0,-31.88975173,116.2559626,0432278164,0454967163,LOW
House,Ivana,,15,Daniels,Street,Cloverwater,6037,"15 Daniels Street, Cloverwater 6037",2,7,-31.88142332,116.2903995,0485850905,0454883320,LOW
House,Emerson,Unit 3,37,Goodwin,Road,Stonefield,6095,"Unit 3, 37 Goodwin Road, Stonefield 6095",1,0,-31.88564638,115.920614,0440786985,0454704363,MED
Howard,Cheryl,,39,Hubbard,Street,Henley Creek,6032,"39 Hubbard Street, Henley Creek 6032",2,0,-32.02685569,115.9374146,0467385008,0455114631,LOW
Howard,Kermit,,17,Hale,Road,Lesley Mills,6078,"17 Hale Road, Lesley Mills 6078",3,0,-31.93510776,115.928898,0439542331,0455037873,LOW
Huber,Amelia,,35,Flowers,Street,Billayong,6059,"35 Flowers Street, Billayong 6059",1,3,-31.80753628,116.0134889,0485364191,0455210771,LOW
Humphrey,Dane,,34,Barnett,Street,Marabelling,6032,"34 Barnett Street, Marabelling 6032",2,0,-32.07415069,115.9499871,0450593722,0455280325,MED
Hunter,Ferdinand,,12,Barber,Street,Wilis Vale,6059,"12 Barber Street, Wilis Vale 6059",2,3,-32.08642688,115.9193135,0450612535,0455465360,LOW
Hurley,Jaden,,35,Holmes,Street,Blue Hill,6058,"35 Holmes Street, Blue Hill 6058",2,2,-31.85804597,115.9280565,0471804298,0455915778,HIGH
Hurst,Kai,,36,Mcgowan,Street,Greenville,6037,"36 Mcgowan Street, Greenville 6037",1,1,-31.8438016,116.2606226,0432296049,0456159842,MED
Jacobson,Baxter,,43,Charles,Road,Henley Creek,6051,"43 Charles Road, Henley Creek 6051",1,2,-32.06648872,116.0890188,(08) 69493882,0456305369,MED
Jimenez,Carly,,17,Weber,Loop,East Helena,6032,"17 Weber Loop, East Helena 6032",1,2,-32.0910007,115.981813,0455457915,0456501554,MED
Johns,Deborah,,57,Clayton,Avenue,Cloverwater,6042,"57 Clayton Avenue, Cloverwater 6042",1,4,-31.87079366,116.0835917,0476805549,0456859164,MED
Johns,Illiana,,25,Mccarthy,Street,Marabelling,6051,"25 Mccarthy Street, Marabelling 6051",2,2,-32.04954248,115.9782391,0425411038,0456684589,LOW
Johnston,Pearl,,41,Skinner,Road,Lesley Mills,6048,"41 Skinner Road, Lesley Mills 6048",2,0,-31.91476334,116.0250602,0496858076,0457036610,MED
Joseph,Kaseem,,41,Stewart,Street,Cloverwater,6037,"41 Stewart Street, Cloverwater 6037",2,4,-31.99694265,116.1015114,0412253289,0457417817,MED
Joyner,Ivana,,37,Patterson,Street,Henley Creek,6058,"37 Patterson Street, Henley Creek 6058",1,0,-32.00189151,116.0553809,0484709265,0457664057,MED
Kane,Macey,,40,Bartlett,Street,Greenville,6042,"40 Bartlett Street, Greenville 6042",2,0,-31.87802806,115.9267133,0428587206,0458008891,LOW
Keith,Ignatius,,56,Wallace,Street,Greenville,6016,"56 Wallace Street, Greenville 6016",2,3,-31.86925741,116.066113,0439888182,0458159355,HIGH
Keith,Regan,,13,Hess,Road,Briganup,6058,"13 Hess Road, Briganup 6058",2,1,-31.93025185,116.1704841,(08) 69190811,0458107705,LOW
Kelly,Angela,,6,Stout,Street,Briganup,6037,"6 Stout Street, Briganup 6037",2,3,-32.0341112,116.1197343,0417842569,0458453300,LOW
Kemp,Gwendolyn,,42,Kidd,Street,Cubbin,6032,"42 Kidd Street, Cubbin 6032",3,3,-32.02645917,115.9040589,0499448347,0458954414,MED
Kemp,Garrett,,44,Cherry,Avenue,Blue Hill,6095,"44 Cherry Avenue, Blue Hill 6095",2,0,-31.84329777,115.9402315,0435379145,0459248164,HIGH
Kennedy,Callie,,42,Gamble,Road,Swan Weir,6027,"42 Gamble Road, Swan Weir 6027",1,1,-31.88862691,115.9906899,0450112269,0459618976,MED
Key,Demetrius,,5,Osborne,Street,Bentley Valley,6048,"5 Osborne Street, Bentley Valley 6048",1,0,-31.83997993,116.0433668,0455440479,0459632917,MED
Kim,Kyla,,4,Adkins,Avenue,Blue Hill,6032,"4 Adkins Avenue, Blue Hill 6032",1,1,-32.03346682,115.9283807,0450426223,0459676600,LOW
King,Zelda,,16,Stout,Street,Wilis Vale,6042,"16 Stout Street, Wilis Vale 6042",1,2,-31.98465041,116.0655968,0436059183,0459776297,LOW
Kinney,Irene,,25,O'Donnell,Street,Blue Hill,6037,"25 O'Donnell Street, Blue Hill 6037",2,0,-31.96092428,115.9166842,(08) 95997198,0459811927,LOW
Kinney,Armand,,20,Davenport,Road,Swan Brook,6056,"20 Davenport Road, Swan Brook 6056",2,1,-32.05691629,115.9353216,0470245073,0459796840,MED
Klein,Cheryl,,44,Hopper,Street,Swan Brook,6021,"44 Hopper Street, Swan Brook 6021",2,4,-31.88480814,116.044565,0477114125,0459913855,LOW
Knapp,Channing,,24,Forbes,Street,Marabelling,6032,"24 Forbes Street, Marabelling 6032",1,0,-32.05008769,115.9369482,0489003420,0459986459,MED
Knight,Deacon,,19,Guy,Road,Albadale,6042,"19 Guy Road, Albadale 6042",2,2,-31.92428918,115.9316463,0471121750,0460103713,HIGH
Knowles,Erin,,57,Kramer,Road,Mount Woorup,6058,"57 Kramer Road, Mount Woorup 6058",1,3,-32.07014467,116.0116436,0421014940,0460533829,LOW
Knowles,Harlan,,15,Woodward,Street,Blue Hill,6078,"15 Woodward Street, Blue Hill 6078",2,0,-32.03163695,116.1633497,0423534631,0460475580,LOW
Langley,Cheryl,,33,Rogers,Street,Lesley Mills,6037,"33 Rogers Street, Lesley Mills 6037",1,1,-31.92714651,115.9815122,0410980618,0460642344,MED
Langley,Fatima,,7,Gould,Avenue,South Cobrook,6078,"7 Gould Avenue, South Cobrook 6078",1,1,-31.91106018,116.2779719,0423133275,0460564145,LOW
Leach,Kareem,,23,Burnett,Street,Swan Brook,6056,"23 Burnett Street, Swan Brook 6056",1,3,-31.83541505,116.0334113,0417044831,0460832355,LOW
Leblanc,Darrel,Unit 5,25,Goodman,Street,Forest Glade,6032,"Unit 5, 25 Goodman Street, Forest Glade 6032",5,0,-32.09363026,115.9821448,0441185748,0460837687,MED
Leblanc,Brooke,,15,Fields,Road,Albadale,6090,"15 Fields Road, Albadale 6090",2,0,-32.00881371,115.9634102,0435811919,0461239313,HIGH
Lee,Portia,,33,Barnett,Street,Billayong,6021,"33 Barnett Street, Billayong 6021",1,0,-31.81343315,115.9929436,0475549794,0461439103,LOW
Leon,Maggie,Unit 3,36,Goodman,Street,Blue Hill,6059,"Unit 3, 36 Goodman Street, Blue Hill 6059",2,3,-31.89594273,116.0393098,0413922094,0461600880,LOW
Leonard,Hoyt,,21,Turner,Street,Cloverwater,6037,"21 Turner Street, Cloverwater 6037",1,1,-31.80128808,115.9983475,0479809994,0462000595,HIGH
Lester,Lillith,,38,Hopper,Street,Wilis Vale,6037,"38 Hopper Street, Wilis Vale 6037",1,0,-31.92315653,116.0283413,0421318973,0462064037,LOW
Levy,Clare,,18,Tucker,Avenue,Stonefield,6032,"18 Tucker Avenue, Stonefield 6032",2,0,-32.02830691,115.9318337,0415941885,0462690222,LOW
Lewis,Buckminster,,16,Melton,Street,Wilis Vale,6037,"16 Melton Street, Wilis Vale 6037",4,3,-32.0363363,115.9970354,0475569786,0462964135,LOW
Little,Rowan,,24,Washington,Avenue,Henley Creek,6042,"24 Washington Avenue, Henley Creek 6042",1,3,-31.83153461,115.9687188,0455206231,0463667822,MED
Lopez,Rhiannon,,21,Maynard,Road,Marricup,6048,"21 Maynard Road, Marricup 6048",2,1,-31.92947655,116.050108,(08) 96035112,0463810155,MED
Love,Raja,,40,Munoz,Road,South Cobrook,6032,"40 Munoz Road, South Cobrook 6032",2,0,-32.05434512,115.9494111,0469771017,0464842568,MED
Love,Basia,,36,Howe,Street,Marabelling,6042,"36 Howe Street, Marabelling 6042",2,3,-31.8292858,115.9085578,0424942264,0464427604,LOW
Love,Nasim,Unit 3,35,Dyer,Street,Wilis Vale,6078,"Unit 3, 35 Dyer Street, Wilis Vale 6078",1,1,-31.83086883,115.9603155,0489549724,0464114488,MED
Lowe,Illana,,6,Conley,Avenue,East Helena,6048,"6 Conley Avenue, East Helena 6048",1,3,-31.92972353,116.1210468,0437043010,0465127263,LOW
Lowe,Sonia,,18,Noble,Street,East Helena,6059,"18 Noble Street, East Helena 6059",2,2,-32.00856594,116.0753284,0436475568,0464982249,LOW
Lowery,Maile,,13,Riddle,Road,High Canning,6032,"13 Riddle Road, High Canning 6032",1,3,-32.08959177,115.9093648,0450997751,0465468148,MED
Lucas,Reagan,,36,Raymond,Road,Blue Hill,6095,"36 Raymond Road, Blue Hill 6095",1,0,-31.83896506,116.0466609,0467149531,0465527188,MED
Luna,Kaitlin,,7,Bailey,Street,Swan Weir,6032,"7 Bailey Street, Swan Weir 6032",1,0,-32.06636974,115.9571453,0459218605,0465717261,LOW
Lynch,Adena,,15,Bean,Street,Cloverwater,6056,"15 Bean Street, Cloverwater 6056",1,2,-32.08617769,115.939465,0435764321,0465738282,LOW
Lynn,Shana,,32,Barnes,Road,Lesley Mills,6037,"32 Barnes Road, Lesley Mills 6037",1,1,-31.81126083,116.1224712,0486382218,0465955863,MED
Lyons,Hamish,,40,Collins,Road,Albadale,6032,"40 Collins Road, Albadale 6032",1,1,-32.00452217,115.9987738,0435812690,0466214346,HIGH
Mack,Dawn,,5,Gould,Street,Briganup,6032,"5 Gould Street, Briganup 6032",2,1,-32.07440431,115.9052648,0440548283,0466596722,MED
Mack,Beau,,39,Bradshaw,Avenue,Blue Hill,6058,"39 Bradshaw Avenue, Blue Hill 6058",2,1,-31.86022151,116.1866808,0452470989,0466292124,LOW
Mann,Kalia,Unit 3,53,Ewing,Road,Albadale,6032,"Unit 3, 53 Ewing Road, Albadale 6032",1,1,-32.09293095,115.9106154,(08) 62589850,0466759883,LOW
Marquez,Yvonne,,12,Thomas,Street,East Helena,6048,"12 Thomas Street, East Helena 6048",3,0,-31.87368957,115.9961852,(08) 63725566,0466890797,MED
Marshall,Hilda,,14,Mejia,Street,South Cobrook,6058,"14 Mejia Street, South Cobrook 6058",3,1,-32.06265831,116.0362392,0419316835,0466943365,LOW
Mason,Russell,,18,Travis,Road,Greenville,6021,"18 Travis Road, Greenville 6021",1,2,-31.80911427,115.9100527,0462051978,0467049312,HIGH
Mathews,Lilah,,3,Harding,Street,East Cubbin,6058,"3 Harding Street, East Cubbin 6058",1,5,-31.982821,116.0219949,0445245325,0467164080,MED
Mayer,Rashad,,35,Moore,Street,Stonefield,6021,"35 Moore Street, Stonefield 6021",1,0,-31.81284423,115.9451712,0423566629,0467341243,MED
Maynard,Lars,,24,Faulkner,Street,East Helena,6064,"24 Faulkner Street, East Helena 6064",1,0,-31.86679386,116.1829344,0438330262,0467356012,LOW
Mccarty,Jennifer,Unit 3,55,Bernard,Road,South Cobrook,6090,"Unit 3, 55 Bernard Road, South Cobrook 6090",2,2,-32.0545645,115.9892692,0416268982,0467408076,LOW
Mcclain,Rhoda,,40,Reilly,Road,Swan Weir,6021,"40 Reilly Road, Swan Weir 6021",1,5,-31.86654405,115.9084364,0487429938,0467462566,MED
Mcconnell,Lucy,,23,Waller,Way,Swan Weir,6059,"23 Waller Way, Swan Weir 6059",1,2,-32.07356381,116.0446335,0428431655,0468108015,MED
Mcgee,Bert,,41,Glass,Road,Wilis Vale,6037,"41 Glass Road, Wilis Vale 6037",2,1,-32.08413289,116.0357322,0485806011,0468356049,MED
Mcgowan,Rylee,,32,Barnett,Road,East Helena,6037,"32 Barnett Road, East Helena 6037",2,2,-31.87708387,115.9136076,0479231353,0468641248,LOW
Mcintyre,Yetta,,24,Mccall,Avenue,Billayong,6032,"24 Mccall Avenue, Billayong 6032",1,2,-32.03407198,115.9441512,0428840388,0468881733,MED
Mckay,Madonna,,10,Lowery,Road,Greenville,6037,"10 Lowery Road, Greenville 6037",2,3,-31.9766207,116.0544526,0472585966,0469010274,LOW
Meadows,Lael,,37,Reed,Street,Forest Glade,6037,"37 Reed Street, Forest Glade 6037",3,1,-31.90002071,115.927218,0441474915,0469137673,LOW
Meadows,Nasim,,21,Barnes,Road,Marricup,6058,"21 Barnes Road, Marricup 6058",2,0,-32.07023262,116.0091004,0464194434,0469195328,MED
Melendez,Chase,,9,Hensley,Street,Mount Woorup,6051,"9 Hensley Street, Mount Woorup 6051",1,2,-31.96496161,116.0917118,0484038672,0469303144,MED
Melton,Kato,,12,Dudley,Street,Blue Hill,6048,"12 Dudley Street, Blue Hill 6048",1,3,-31.81794325,116.0062298,0470572344,0469326988,MED
Mendez,Colin,,38,Stewart,Street,Stonefield,6032,"38 Stewart Street, Stonefield 6032",1,0,-32.00353479,115.9893332,0436211965,0469512977,LOW
Mendoza,Dennis,,37,Calderon,Road,Marricup,6090,"37 Calderon Road, Marricup 6090",1,0,-31.81718777,115.9616851,0440222412,0469659714,LOW
Merritt,Hop,,39,Kane,Road,East Helena,6042,"39 Kane Road, East Helena 6042",3,2,-31.81192964,116.2197686,0421962180,0469792046,LOW
Michael,Harding,,13,Thompson,Street,Cubbin,6051,"13 Thompson Street, Cubbin 6051",1,0,-31.96413393,115.9750634,0436054008,0470059180,LOW
Michael,Sonya,,14,Dale,Road,Greenville,6051,"14 Dale Road, Greenville 6051",3,2,-31.98889817,116.2111598,0471496378,0469955833,LOW
Miles,Caesar,,42,Russell,Road,Forest Glade,6037,"42 Russell Road, Forest Glade 6037",2,0,-32.0389615,115.9428519,0462550511,0470090176,LOW
Mitchell,Abdul,,45,Buchanan,Street,High Canning,6032,"45 Buchanan Street, High Canning 6032",1,0,-31.88409164,115.9445527,0478718092,0470164843,LOW
Molina,Winifred,,6,Payne,Way,Swan Weir,6078,"6 Payne Way, Swan Weir 6078",2,5,-31.94657339,115.9468006,0428705078,0470464742,MED
Moon,Ray,,16,Mason,Street,South Cobrook,6032,"16 Mason Street, South Cobrook 6032",1,1,-32.04314277,115.9023878,0472113811,0470466016,MED
Moreno,Fitzgerald,,37,O'Neill,Street,Greenville,6032,"37 O'Neill Street, Greenville 6032",2,3,-32.07700379,115.9724459,0448517293,0470528044,LOW
Morin,Karen,,25,Small,Street,Blue Hill,6016,"25 Small Street, Blue Hill 6016",2,2,-31.85871938,115.9814731,0421975303,0470635279,LOW
Morris,Nathaniel,,33,Horne,Street,Marricup,6037,"33 Horne Street, Marricup 6037",1,1,-31.91953453,115.9108968,0485479806,0470718402,HIGH
Morrow,Jack,,9,Petersen,Road,Briganup,6042,"9 Petersen Road, Briganup 6042",2,3,-31.80514968,116.0116978,0425185893,0470817335,MED
Morse,Thor,,40,Rowe,Road,Henley Creek,6037,"40 Rowe Road, Henley Creek 6037",1,0,-31.94419635,116.023547,0415415597,0471222047,MED
Moses,Denise,,12,Poole,Avenue,St Spencer,6032,"12 Poole Avenue, St Spencer 6032",1,2,-32.00219202,115.9795561,(08) 96442527,0471259782,MED
Moss,Kylynn,,43,Hoover,Street,Briganup,6095,"43 Hoover Street, Briganup 6095",1,2,-31.86882607,115.9773721,0474069762,0471334073,LOW
Mueller,Aiko,,22,Maynard,Road,East Helena,6059,"22 Maynard Road, East Helena 6059",1,2,-32.02807094,115.9228641,0490253445,0471380195,MED
Mueller,Daniel,,36,Roman,Avenue,Billayong,6059,"36 Roman Avenue, Billayong 6059",1,3,-31.98161928,116.0103868,0463116277,0471484585,LOW
Murphy,Jin,,34,Holden,Street,Henley Creek,6048,"34 Holden Street, Henley Creek 6048",2,0,-31.85087043,115.9729842,0475688631,0471542377,LOW
Murray,Tatiana,,40,Huff,Street,Blue Hill,6056,"40 Huff Street, Blue Hill 6056",2,1,-32.09429794,116.010337,(08) 98293269,0471881304,MED
Myers,Ethan,,22,Robles,Road,Albadale,6090,"22 Robles Road, Albadale 6090",2,1,-31.92318947,116.0997926,0483335214,0472268842,LOW
Newman,Zorita,,36,Slater,Street,Henley Creek,6037,"36 Slater Street, Henley Creek 6037",1,1,-31.87684336,115.9533745,0470806927,0472325456,LOW
Newton,Adrienne,,39,Vinson,Loop,Blue Hill,6090,"39 Vinson Loop, Blue Hill 6090",2,5,-31.99627564,116.1047911,(08) 69551930,0472517147,MED
Nielsen,Tanisha,,38,Riley,Avenue,South Cobrook,6056,"38 Riley Avenue, South Cobrook 6056",2,0,-32.01178906,115.9973114,0438947248,0472662841,MED
Nunez,Keith,,42,Rhodes,Street,Cloverwater,6042,"42 Rhodes Street, Cloverwater 6042",2,1,-31.81645018,116.0518789,0444034896,0472965745,HIGH
Odom,Macey,,8,Thomas,Street,Swan Brook,6048,"8 Thomas Street, Swan Brook 6048",2,0,-32.02001662,115.9859848,0427288862,0473183269,LOW
Olsen,Mercedes,,39,Cohen,Street,St Spencer,6064,"39 Cohen Street, St Spencer 6064",2,2,-31.97240696,116.0190527,0478479167,0473776161,LOW
Olson,Anastasia,,7,Terry,Street,Cubbin,6032,"7 Terry Street, Cubbin 6032",2,1,-31.80900339,115.9840686,(08) 61332495,0474395579,HIGH
Olson,Xena,,41,Osborn,Street,Cloverwater,6032,"41 Osborn Street, Cloverwater 6032",1,1,-32.05784904,115.9227846,0492403302,0475078714,HIGH
Olson,Kiayada,,34,Waller,Street,Stonefield,6048,"34 Waller Street, Stonefield 6048",2,2,-31.82444661,115.9364649,0418200182,0474537606,HIGH
Oneil,Kylynn,,33,Ramsey,Road,Cubbin,6059,"33 Ramsey Road, Cubbin 6059",2,1,-32.06811342,116.2333874,0469514334,0475282312,HIGH
Osborne,Carolyn,,12,Meadows,Road,Briganup,6095,"12 Meadows Road, Briganup 6095",2,2,-31.83636534,115.9376299,0412645998,0475520158,LOW
Pacheco,Kylee,,57,Mooney,Road,Greenville,6037,"57 Mooney Road, Greenville 6037",1,3,-31.93676585,116.0344587,0432034024,0475813403,LOW
Park,Warren,,24,Morton,Avenue,Swan Weir,6032,"24 Morton Avenue, Swan Weir 6032",2,3,-32.06287635,115.9706024,0475947471,0476118927,MED
